,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor,A rs,A rp,A rd,B rs,B rp,B rd,B EA,B s total,B p total,B d total,B f total
58,58,58,58,58,AcTaO3,Ac,Ta,0,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.945,0.159,0,13.765,0,5.615,5.983,8.195,90,90,90,4.844,0.5037037037,0.8603713051999999,5.17,7.89,1.1,1.5,0.8603713051999999,,,,1.25,1.54,0.605,0.322,12,24,22,14
59,59,59,59,59,AcTbO3,Ac,Tb,0,element not in BV,element not in BV,1.12,0.84,orthorhombic,-3.561,0.009,0,16.078,4.382,6.009,6.201,8.63,90,90,90,5.379,0.6222222222,0.7975131276,5.17,5.86,1.1,1.1,0.7975131276,,,,,,,,12,24,21,7
60,60,60,60,60,AcTcO3,Ac,Tc,0,element not in BV,element not in BV,1.12,0.6,orthorhombic,-2.487,0.069,0.397,13.358,0,5.652,5.84,8.095,90,90,90,3.73,0.44444444439999997,0.8956685895000001,5.17,7.28,1.1,1.9,0.8956685895000001,,,,1.16,1.49,0.455,0.55,10,18,15,0
61,61,61,61,61,AcTeO3,Ac,Te,0,element not in BV,element not in BV,1.12,0.77,cubic,-1.817,0.558,0.001,16.423,0,4.346,4.346,4.346,90,90,90,2.116,0.5703703703999999,0.8238461082999999,5.17,9.009,1.1,2.1,0.8238461082999999,,,,0.79,0.88,0.325,1.9708,10,22,20,0
62,62,62,62,62,AcThO3,Ac,Th,0,element not in BV,element not in BV,1.12,0.94,cubic,-3.113,0.622,0.002,19.466,0,4.6,4.6,4.6,90,90,90,3.724,0.6962962963,0.7626872269,5.17,6.08,1.1,1.3,0.7626872269,,,,,,,,14,30,31,14
63,63,63,63,63,AcTiO3,Ac,Ti,0,element not in BV,element not in BV,1.12,0.71,orthorhombic,-3.443,-0.092,0.003,12.8,0,5.647,5.662,8.007,90,90,90,5.944,0.5259259259000001,0.8478416259999999,5.17,6.82,1.1,1.54,0.8478416259999999,,,,1.15,1.43,0.28,0.079,8,12,2,0
64,64,64,64,64,AcTlO3,Ac,Tl,0,element not in BV,element not in BV,1.12,1.2,orthorhombic,-2.27,-0.012,0,15.973,1.041,5.937,6.296,8.547,90,90,90,1.876,0.8888888889,0.6849230390000001,5.17,6.108,1.1,1.62,0.6849230390000001,,,,1.015,1.22,0.46299999999999997,0.2,12,24,30,14
65,65,65,65,65,AcTmO3,Ac,Tm,0,element not in BV,element not in BV,1.12,0.96,orthorhombic,-3.772,-0.016,0,15.361,4.565,5.94,6.089,8.494,90,90,90,5.793,0.7111111111,0.7560838743000001,5.17,6.184,1.1,1.25,0.7560838743000001,,,,,,,,12,24,20,12
66,66,66,66,66,AcUO3,Ac,U,0,element not in BV,element not in BV,1.12,0.85,cubic,-2.874,0.635,0.525,17.809,0,4.466,4.466,4.466,90,90,90,2.892,0.6296296296,0.793888068,5.17,6.05,1.1,1.38,0.793888068,,,,,,,,14,30,31,16
67,67,67,67,67,AcVO3,Ac,V,0,element not in BV,element not in BV,1.12,0.64,orthorhombic,-3.221,-0.116,0.4,12.873,1.21,5.664,5.684,7.997,90,90,90,4.968,0.47407407409999996,0.8776652008,5.17,6.74,1.1,1.63,0.8776652008,,,,1.09,1.34,0.26,0.525,8,12,3,0
68,68,68,68,68,AcWO3,Ac,W,0,element not in BV,element not in BV,1.12,0.63,orthorhombic,-2.501,0.268,0.003,13.405,0,5.669,5.86,8.07,90,90,90,3.492,0.4666666667,0.8820978533,5.17,7.98,1.1,2.36,0.8820978533,,,,1.22,1.515,0.59,0.815,12,24,23,14
69,69,69,69,69,AcYO3,Ac,Y,0,element not in BV,element not in BV,1.12,0.9,orthorhombic,-3.693,0.001,0,15.939,4.608,5.993,6.183,8.603,90,90,90,5.419,0.6666666667,0.7762461109000001,5.17,6.38,1.1,1.22,0.7762461109000001,,,,1.32,1.62,0.58,0.307,10,18,11,0
70,70,70,70,70,AcYbO3,Ac,Yb,0,element not in BV,element not in BV,1.12,0.95,orthorhombic,-3.094,0.099,0.2,15.548,0,5.937,6.214,8.429,90,90,90,-0.312,0.7037037037,0.7593711954000001,5.17,6.254,1.1,1.1,0.7593711954000001,,,,,,,-0.02,12,24,20,13
71,71,71,71,71,AcZnO3,Ac,Zn,0,element not in BV,element not in BV,1.12,0.74,orthorhombic,-2.416,0.033,0,12.54,0,5.587,5.662,7.928,90,90,90,0.739,0.5481481481,0.8356716504999999,5.17,9.394,1.1,1.65,0.8356716504999999,,,,0.82,1.06,0.175,,8,12,10,0
72,72,72,72,72,AcZrO3,Ac,Zr,0,element not in BV,element not in BV,1.12,0.72,orthorhombic,-3.365,0.069,-0.001,14.751,0,5.84,6.057,8.34,90,90,90,5.242,0.5333333333,0.8437457727,5.17,6.84,1.1,1.33,0.8437457727,,,,1.265,1.56,0.54,0.426,10,18,12,0
73,73,73,73,73,AgAcO3,Ag,Ac,0,element not in BV,element not in BV,1.28,1.12,orthorhombic,-1.674,0.283,0,15.943,0,6.008,6.225,8.526,90,90,90,-1.294,0.8296296296,0.752911269,7.5760000000000005,5.17,1.93,1.1,0.752911269,1.045,1.33,0.385,,,,0.35,14,30,30,14
74,74,74,74,74,Ag2O3,Ag,Ag,0,not balanced,not balanced,1.28,0.95,cubic,0.351,0.576,-,12.997,0,4.02,4.02,4.02,90,90,90,-2.694,0.7037037037,0.8085612324,7.5760000000000005,7.5760000000000005,1.93,1.93,0.8085612324,1.045,1.33,0.385,1.045,1.33,0.385,1.3019999999999998,9,18,20,0
75,75,75,75,75,AgAlO3,Ag,Al,0,not balanced,not balanced,1.28,0.54,orthorhombic,-1.51,0.235,-,9.898,0,5.094,5.323,7.3,90,90,90,-1.341,0.4,0.9839634045000001,7.5760000000000005,5.9860000000000015,1.93,1.61,0.9839634045000001,1.045,1.33,0.385,0.77,0.905,,0.43283,6,7,0,0
