Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor
DyCdO3,Dy,Cd,FALSE,not balanced,not balanced,1.08,0.95,cubic,-1.598,0.822,0,13.641,0,4.086,4.086,4.086,90,90,90,-1.035,O,1.385,0.7464746105
DyCeO3,Dy,Ce,FALSE,2,4,1.19,0.87,cubic,-2.306,1.379,0,18.617,0,4.532,4.532,4.532,90,90,90,-3.241,O,1.385,0.8074500938
DyCoO3,Dy,Co,TRUE,3,3,1.08,0.61,orthorhombic,-2.532,0.02,0.001,10.746,1.438,5.177,5.555,7.474,90,90,90,-,O,1.385,0.8736933412
DyCrO3,Dy,Cr,TRUE,3,3,1.08,0.62,orthorhombic,-3.204,-0.038,0.6,11.115,2.524,5.265,5.569,7.582,90,90,90,4.239,O,1.385,0.8693357684
DyCsO3,Dy,Cs,FALSE,not balanced,not balanced,1.08,1.67,-,-,-,-,-,-,-,-,-,-,-,-,-,O,1.385,0.5705460608
DyCuO3,Dy,Cu,FALSE,3,3,1.08,0.54,orthorhombic,-2.282,0.047,0,10.964,0.256,5.205,5.86,7.189,90,90,90,0.68,O,1.385,0.9054640081
Dy2O3,Dy,Dy,FALSE,not balanced,not balanced,1.08,0.99,cubic,-2.904,0.946,0,15.461,1.645,4.26,4.26,4.26,90,90,90,0.855,O,1.385,0.7339024066
DyErO3,Dy,Er,FALSE,not balanced,not balanced,1.08,0.89,cubic,-3.004,0.869,0,14.941,1.781,4.212,4.212,4.212,90,90,90,1.611,O,1.385,0.766161853
DyEuO3,Dy,Eu,FALSE,not balanced,not balanced,1.08,1.06,cubic,-2.131,1.152,0.105,15.365,0,4.251,4.251,4.251,90,90,90,-2.368,O,1.385,0.7128908857
DyFeO3,Dy,Fe,TRUE,3,3,1.08,0.65,orthorhombic,-2.782,-0.033,1,11.252,1.179,5.283,5.597,7.611,90,90,90,3.193,O,1.385,0.8565200077
DyGaO3,Dy,Ga,FALSE,3,3,1.08,0.62,orthorhombic,-2.972,0.017,0,11.058,4.078,5.263,5.558,7.56,90,90,90,4.452,O,1.385,0.8693357684
DyGdO3,Dy,Gd,FALSE,not balanced,not balanced,1.08,0.94,cubic,-2.789,1.032,0,16.035,1.31,4.312,4.312,4.312,90,90,90,0.097,O,1.385,0.749685254
DyGeO3,Dy,Ge,FALSE,2,4,1.19,0.53,cubic,-2.216,0.609,0,11.572,0,3.868,3.868,3.868,90,90,90,2.802,O,1.385,0.9508093794
DyHfO3,Dy,Hf,FALSE,2,4,1.19,0.71,cubic,-3.131,0.522,0,13.456,0,4.067,4.067,4.067,90,90,90,4.507,O,1.385,0.8691169268
DyHgO3,Dy,Hg,FALSE,not balanced,not balanced,1.08,1.11,cubic,-1.177,0.93,0,14.656,0,4.185,4.185,4.185,90,90,90,-0.976,O,1.385,0.6986044952
DyHoO3,Dy,Ho,FALSE,not balanced,not balanced,1.08,0.9,cubic,-2.956,0.906,0,15.202,1.781,4.236,4.236,4.236,90,90,90,1.312,O,1.385,0.7628088471
DyInO3,Dy,In,FALSE,not balanced,not balanced,1.08,0.8,cubic,-2.146,0.701,0,13.544,1.635,4.076,4.076,4.076,90,90,90,2.656,O,1.385,0.7977200072
